,Unnamed: 0,Title,Price,Location,Rooms,Area,Floor
2824,2824,4-комнатная квартира · 86.3 м² · 4/5 этаж,68000000,"Ауэзовский р-н, Щепкина — Щепкина-пятницкого",4,86.3,4
2825,2825,6-комнатная квартира · 236 м² · 1/5 этаж,235000000,"Бостандыкский р-н, Санаторная",6,236.0,1
2826,2826,3-комнатная квартира · 80 м² · 7/16 этаж,89700000,"Бостандыкский р-н, Мусрепова — Сатпаева",3,80.0,7
2827,2827,1-комнатная квартира · 38.9 м² · 9/12 этаж,28990000,"Наурызбайский р-н, Коктерек — проспект Абая",1,38.9,9
2828,2828,1-комнатная квартира · 33 м² · 3/5 этаж,22000000,"Турксибский р-н, Палладина — Сейфуллина",1,33.0,3
2829,2829,1-комнатная квартира · 42 м² · 8/8 этаж,24000000,"Алатауский р-н, мкр Нуркент, Мкр Нуркент (Алгабас-1) 5/1",1,42.0,8
2830,2830,3-комнатная квартира · 105 м² · 4/10 этаж,83000000,"Медеуский р-н, Бегалина 68",3,105.0,4
2831,2831,2-комнатная квартира · 49 м² · 3/3 этаж,30000000,"Турксибский р-н, Спасская 63Б",2,49.0,3
2832,2832,3-комнатная квартира · 56.4 м² · 3/5 этаж,39500000,"Ауэзовский р-н, Саина 4/2 — Саина/проспект Райымбека",3,56.4,3
2833,2833,3-комнатная квартира · 73 м² · 5/9 этаж,43999999,"Ауэзовский р-н, Бауыржан Момышулы — Улугбека",3,73.0,5
2834,2834,2-комнатная квартира · 60 м² · 2/9 этаж,47500000,"Бостандыкский р-н, Гагарина 152",2,60.0,2
2835,2835,1-комнатная квартира · 39.61 м² · 7/9 этаж,18700000,"Наурызбайский р-н, мкр Шугыла, Мкрн Шугыла 340/5",1,39.61,7
2836,2836,4-комнатная квартира · 156 м² · 15/17 этаж,100000000,"Бостандыкский р-н, Абая 150/230",4,156.0,15
